חותמת זמן,מונה,מספר,תאריך,קובץ
07/04/2022 15:19:35,גז,65.56,07/12/2021,https://drive.google.com/open?id=1qvdeVPweGqhmmREL3UC7V5koYZpcdXdC
07/04/2022 15:24:34,חשמל,1709,07/12/2021,https://drive.google.com/open?id=1tTi-crZ_P6kGdlzai7PlHFeJBqmjXf9M
07/04/2022 15:34:13,גז,66.9,27/03/2022,https://drive.google.com/open?id=1F2AF1Ypvx-q6Am9KGboVQITBqY-cCvBV
07/04/2022 16:54:03,מים,36.8,07/12/2021,https://drive.google.com/open?id=1Pwl8_cxPY-lkOpMTsn-lFiqYomMJLpSL
07/04/2022 16:56:04,מים,51.9,27/12/2022,https://drive.google.com/open?id=14nvKy4Fdtm6Id4z2exgWtjtJ1s9LiJA3
07/04/2022 23:56:59,חשמל,3564,07/04/2022,https://drive.google.com/open?id=1zbSb7HnRl8mXeuEjsirMGRI05mehYs-4
06/05/2022 17:42:23,חשמל,3695.18,01/05/2022,
06/05/2022 17:42:53,מים,56.4,01/05/2022,
06/05/2022 17:44:01,גז,67.291,01/05/2022,
07/06/2022 00:04:45,חשמל,3921.8,06/06/2022,
07/06/2022 00:05:14,מים,61,06/06/2022,
07/06/2022 00:06:07,גז,67.57,06/06/2022,
18/07/2022 12:41:46,גז,67.8,06/07/2022,
18/07/2022 12:42:12,מים,66,06/07/2022,
18/07/2022 12:42:48,חשמל,4256.7,06/07/2022,
24/08/2022 11:21:41,חשמל,4600,02/08/2022,
24/08/2022 11:22:43,גז,68.3,02/08/2022,
24/08/2022 11:23:11,מים,69.4,02/08/2022,
24/08/2022 11:24:07,מים,70.8,18/08/2022,
11/11/2022 12:27:55,חשמל,5435.71,11/11/2022,https://drive.google.com/open?id=1S1KQAPbrDUUk6Cea5O2r1BN5WhqTVV3-
11/11/2022 12:29:08,מים,82.9,11/11/2022,https://drive.google.com/open?id=1FNz7Or_TBzGnM4G920ixM1UvnKTlr5Zg
11/11/2022 12:30:25,גז,69.688,11/11/2022,https://drive.google.com/open?id=1xb08QT3hWikk08j7c530SI6T2EiUL0pR
06/12/2022 21:37:50,גז,69.83,04/12/2022,
06/12/2022 21:38:32,מים,85.5,04/12/2022,
03/02/2023 16:46:34,חשמל,5963,03/02/2023,https://drive.google.com/open?id=1PRzaCc2JgF1hG-XkcXz5yMF-1Tk-maKL
03/02/2023 16:50:11,גז,70.1,03/02/2023,
03/02/2023 16:50:59,מים,91.9,03/02/2023,
07/02/2023 21:46:12,חשמל,6017,07/02/2023,
16/04/2023 09:07:00,מים,99,16/04/2023,https://drive.google.com/open?id=15Y537FjornLQDAEDMh3hFwG7cJubp1pY
16/04/2023 09:07:45,גז,70.59,16/04/2023,https://drive.google.com/open?id=1zXt9on7rktlEQv9F_TscYFvMDLuT8Fsa
16/04/2023 09:08:58,חשמל,6541,16/04/2023,https://drive.google.com/open?id=1MDwv9Oiu9Heq24ALqzdQYJH8DKxBD3C4
03/07/2023 22:52:10,גז,71.318,03/07/2023,https://drive.google.com/open?id=1UaVHaXke-Jujhg5uUMBQ8zp3DtUiZ610
03/07/2023 22:53:26,מים,00109,03/07/2023,https://drive.google.com/open?id=1ZleVX_5iY56c7cUSzhSLT089YdBpyWgG
03/07/2023 22:54:45,חשמל,7026.91,03/07/2023,https://drive.google.com/open?id=1Qp3GQiOF9orKtSGjBy2J8pqRJ0dZrleL
13/09/2023 21:27:06,חשמל,7958.84,13/09/2023,https://drive.google.com/open?id=1JkSO284IFPq-N28928MG-xBNzXNQ99fK
13/09/2023 21:28:49,מים,117.5,13/09/2023,https://drive.google.com/open?id=1VdxpGFc6DqThAX4Egl97EM-hClnjL8nG
13/09/2023 21:29:31,גז,71.802,13/09/2023,https://drive.google.com/open?id=1q5NWuoLwQuAruLb4-ayHhDZP5aPX6yU-
03/11/2023 13:58:45,חשמל,8314.76,03/11/2023,https://drive.google.com/open?id=1-hWQaYHKs3sHGnaJg1wxlWC0gOCUIroj
03/11/2023 13:59:41,גז,72.034,03/11/2023,https://drive.google.com/open?id=1B8MtNn5H0qh2BXB_E7bs-JF5E2mqoSwG
03/11/2023 14:00:36,מים,120.9,03/11/2023,https://drive.google.com/open?id=11hh3NxRD35aF-Mmv5UCl9RvDV-o5Ulnz
07/12/2023 12:07:59,גז,72.049,07/12/2023,https://drive.google.com/open?id=1fmtlxv7RVE7__OQAJV0EVaGcw8I4JHN0
07/12/2023 12:08:42,מים,123.4,07/12/2023,https://drive.google.com/open?id=1iyuAjUeJH-HLhGrzbqbbCRZNxdkXoh2v
07/12/2023 23:58:38,חשמל,8428.06,07/12/2023,https://drive.google.com/open?id=1MJjksfjkpc_6PvZGsifzIgBqUahK88DB
07/01/2024 17:12:41,חשמל,8561.71,07/01/2024,https://drive.google.com/open?id=1Evsby006EXU2FZr5JA2gKRX60yggOwNA
07/01/2024 17:14:52,גז,72.101,07/01/2024,https://drive.google.com/open?id=1eFHBZn4yd6D6mcFSybCJr41pTUfh0YnH
07/01/2024 17:15:38,מים,125.7,07/01/2024,https://drive.google.com/open?id=1QtJKTIqWwFH835o4UwV0r01dwz3i8YxA
10/02/2024 20:35:21,גז,72.384,10/02/2024,https://drive.google.com/open?id=1XV0r4s2ZWxMj-QrHUFAcat5DmaGMOiUl
10/02/2024 20:37:09,מים,129.4,10/02/2024,https://drive.google.com/open?id=14Gm7Lt8tTjHazrkIZVz4yu0du3txq8Zx
10/02/2024 20:38:29,חשמל,8994.45,10/02/2024,https://drive.google.com/open?id=1Lb8BuOP2wIQGYKcfMBpcoXIfD7F9Fpqz
